idx,start,end,word
126,74.415,74.936,למוזיקה
127,74.996,75.456,"קלאסית,"
128,75.776,76.437,ובייחוד
129,76.497,76.977,ליצירות
130,77.037,77.177,של
131,77.238,77.698,"מוצרט,"
132,77.938,78.559,משפרת
133,78.599,78.699,את
134,78.719,79.539,האינטליגנציה
135,79.599,80.02,שלהם.
136,80.74,81.141,מקורה
137,81.221,81.381,של
138,81.421,81.901,האמונה
139,81.981,82.622,במחקר
140,82.722,83.262,שפרסם
141,83.302,85.044,בשנת
142,NA,NA,1993
143,85.484,85.764,כתב
144,85.804,86.545,העת
145,NA,NA,"Nature,"
146,87.225,87.686,שמצא
147,87.746,87.846,כי
148,87.886,88.526,סטודנטים
149,88.586,89.207,שהקשיבו
150,89.227,89.747,לסונטה
151,89.807,89.967,של
152,90.027,90.468,מוצרט
153,90.528,90.928,במשך
154,91.008,91.268,עשר
155,91.308,91.669,"דקות,"
156,92.189,92.569,שיפרו
157,92.609,92.729,את
158,92.81,93.51,ביצועיהם
159,93.55,94.091,במבחן
160,94.171,94.331,של
161,94.371,95.151,אינטליגנציה
162,95.211,95.732,מרחבית
163,96.112,96.713,בשמונה
164,96.793,96.933,עד
165,97.033,97.353,עשר
166,97.413,97.853,נקודות
167,97.934,98.374,איי-קיו.
168,98.574,99.755,"הממצאים,"
169,100.115,100.516,שזכו
170,100.576,100.956,לשם
171,101.096,101.497,אפקט
172,101.577,102.097,"מוצארט,"
173,102.478,102.958,הציתו
174,103.018,103.238,גל
175,103.319,103.819,מחקרים
176,103.899,104.339,עוקבים
177,104.72,105.12,שניסו
178,105.16,105.701,לשחזר
179,105.861,105.921,את
180,105.981,106.361,תוצאות
181,106.401,106.822,המחקר
182,106.842,107.402,"המקורי,"
183,107.803,108.003,אך
184,108.063,108.423,הפיקו
185,108.463,108.884,במקרה
186,108.904,109.284,הטוב
187,109.404,109.845,תוצאות
188,109.905,110.505,מעורבות.
189,111.426,111.747,ניתוח
190,111.847,112.447,השוואתי
191,112.487,112.948,"מקיף,"
192,113.008,113.628,שהתייחס
193,113.668,114.029,ל-16
194,114.429,114.889,מחקרים
195,114.97,115.29,שונים
196,115.33,115.79,"בנושא,"
197,116.311,116.631,הגיע
198,116.691,117.372,למסקנה
199,117.452,118.113,שהאפקט
200,118.153,118.613,הכולל
201,118.673,119.114,זניח.
202,119.786,120.066,אך
203,120.106,120.266,אף
204,120.366,120.846,שאפקט
205,120.906,121.387,מוצרט
206,121.547,121.727,לא
207,121.767,122.127,הצליח
208,122.167,122.527,לעמוד
209,122.607,123.167,במבחן
210,123.247,123.407,של
211,123.448,123.648,אמות
212,123.748,124.028,המידה
213,124.048,124.788,"המדעיות,"
214,125.208,125.308,הוא
215,125.388,125.708,זכה
216,125.748,126.509,לפופולריות
217,126.609,127.169,סוחפת
218,127.229,127.749,בציבור
219,127.789,128.39,הרחב.
220,129.17,129.65,המחקר
221,129.77,130.11,צוטט
222,130.19,130.49,באין
223,130.55,130.831,ספור
224,130.911,131.331,דיונים
225,131.391,132.031,ציבוריים
226,132.371,132.891,שעסקו
227,132.931,133.372,בחינוך
228,133.452,133.932,בכלל
229,134.252,134.852,ובפיתוח
230,134.952,135.592,מיומנויות
231,135.653,135.813,של
232,135.853,136.293,עוללים
233,136.353,136.833,בפרט.
234,137.553,138.033,בשיאו
235,138.114,138.254,של
236,138.294,138.914,"השיגעון,"
237,139.234,139.734,העבירה
238,139.814,140.274,מדינת
239,140.434,140.955,ג'ורג'יה
240,141.015,141.515,תקנה
241,141.895,142.475,שהבטיחה
242,142.575,143.016,חלוקת
243,143.096,143.396,אלבום
244,143.536,143.896,מוזיקה
245,143.976,144.456,קלאסית
246,144.596,145.136,לאמהות
247,145.196,145.737,שילדו
248,145.797,145.897,זה
249,145.957,146.397,מקרוב.
250,147.14,147.62,מדינת
251,147.82,148.28,פלורידה
252,148.36,148.821,מצידה
253,149.281,149.581,ישרה
254,149.641,150.061,תקנה
255,150.161,150.581,שלפיה
256,150.621,151.181,מעונות
257,151.261,151.501,יום
258,151.581,151.942,במימון
259,152.042,152.502,המדינה
260,152.942,153.482,ינגנו
261,153.562,153.962,מוזיקה
262,154.022,154.462,קלאסית
263,154.542,154.903,בכל
264,154.943,155.163,יום.
265,155.903,156.383,חנויות
266,156.443,156.863,הציגו
267,156.903,157.403,ספרים
268,157.463,157.984,ואלבומי
269,158.044,158.444,מוזיקה
270,158.504,159.024,"מתאימים,"
271,159.484,159.964,ושיעור
272,160.024,160.504,המודעות
273,160.564,160.704,של
274,160.724,161.325,האוכלוסייה
275,161.385,161.925,לתופעה
276,162.305,162.625,הגיע
277,162.685,163.765,ל-80%.
278,164.366,164.886,התופעה
279,164.986,165.446,נפוצה
280,165.506,165.606,גם
281,165.626,165.806,אל
282,165.846,166.246,מעבר
283,166.286,166.706,"לים,"
284,167.147,167.607,והפכה
285,167.687,168.107,לאחת
286,168.127,168.607,האגדות
287,168.627,169.427,האורבניות
288,169.467,170.168,המצליחות
289,170.248,170.708,ביותר
290,170.768,171.188,מעולם.
291,172.503,173.104,אדריאן
292,173.184,173.886,בנגרטר
293,174.066,174.547,וצ'יפ
294,174.567,174.928,היף
295,175.048,175.689,מאוניברסיטת
296,175.83,176.471,סטנפורד
297,176.772,177.233,התחכו
298,177.293,177.393,על
299,177.413,178.094,התפתחותה
300,178.155,178.335,של
301,178.355,178.736,האגדה
302,178.816,179.497,האורבנית
303,179.517,179.978,המדעית
304,180.038,180.319,הזאת.
305,180.975,181.535,במחקר
306,181.575,182.016,הראשון
307,182.076,182.656,"שערכו,"
308,182.997,183.277,ניסו
309,183.297,183.817,השניים
310,183.857,184.177,לעקוב
311,184.218,184.498,אחר
312,184.538,184.978,התפתחות
313,185.098,185.398,העניין
314,185.438,186.219,התקשורתי
315,186.279,186.78,באפקט
316,186.82,187.3,מוצרט.
317,187.92,188.04,הם
318,188.121,188.481,סרקו
319,188.521,188.601,את
320,188.661,189.321,כותרותיהם
321,189.382,189.522,של
322,NA,NA,50
323,190.062,190.522,העיתונים
324,190.562,191.123,המובילים
325,191.163,191.563,בארצות
326,191.603,191.904,הברית
327,192.204,192.604,במשך
328,192.664,193.024,שמונה
329,193.064,193.425,שנים
330,193.485,193.845,לאחר
331,193.945,194.345,פרסום
332,194.385,194.846,המחקר
333,194.886,195.426,"המקורי,"
334,195.887,196.407,והשוו
335,196.467,196.547,את
336,196.627,197.048,מספר
337,197.088,197.568,הפעמים
338,197.628,198.268,שהמאמר
339,198.308,198.829,"הוזכר,"
340,199.169,199.75,למספר
341,199.79,200.31,הפעמים
342,200.37,201.051,שהוזכרו
343,NA,NA,22
344,201.731,202.432,מאמרים
345,202.472,202.952,אחרים
346,203.012,203.793,שהתפרסמו
347,203.873,204.213,בנייצ'ר
348,204.834,205.234,בחודש
349,205.274,205.754,שקדם
350,205.794,206.315,לפרסום
351,206.375,206.755,אפקט
352,206.775,207.215,מוצרט
353,207.516,207.996,ובחודש
354,208.056,208.757,שלאחריו.
355,209.426,210.167,הממצאים
356,210.247,210.707,מייצגים
357,210.847,211.328,היטב
358,211.348,211.488,את
359,211.528,212.009,הדרך
360,212.069,212.269,שבה
361,212.309,212.93,מתפשטת
362,212.99,213.27,אגדה
363,213.37,213.931,אורבנית
364,214.151,214.912,המבוססת
365,214.972,215.052,על
366,215.092,215.432,מחקר
367,215.512,215.933,מדעי.
368,216.613,216.974,אפקט
369,217.074,217.534,מוצרט
370,217.754,218.135,צוטט
371,218.315,218.555,שבע
372,218.635,218.976,פעמים
373,219.036,219.496,בלבד
374,219.596,219.957,בשנת
375,220.037,220.397,פרסום
376,220.437,221.038,המחקר.
377,221.438,222.079,האחרים
378,222.179,222.579,צוטטו
379,222.619,223.24,בממוצע
380,223.56,223.881,חמש
381,223.981,224.321,פעמים
382,224.381,224.701,נקודה
383,224.781,225.122,שמונה.
384,225.322,225.882,אך
385,225.942,226.223,מאז
386,226.343,226.623,צבר
387,226.683,227.223,"תאוצה,"
388,227.604,227.984,ובתוך
389,228.184,228.444,עשר
390,228.524,228.905,שנים
391,228.985,229.205,היה
392,229.245,229.645,מספר
393,229.685,230.225,הציטוטים
394,230.305,230.706,שזכה
395,230.786,231.066,להן
396,231.446,231.746,גדול
397,231.847,233.508,פי
398,NA,NA,11.4
399,233.708,234.248,ממספר
400,234.268,234.849,הציטוטים
401,235.069,235.309,שלא
402,235.369,235.609,זכו
403,235.689,236.23,המחקרים
404,236.31,236.83,האחרים.
405,237.27,237.771,במקרים
406,237.831,238.191,"רבים,"
407,238.491,239.152,האזכורים
408,239.232,239.452,היו
409,239.492,239.892,קשורים
410,239.932,240.413,לאירועים
411,240.493,241.033,חיצוניים
412,241.093,241.653,"למחקר,"
413,241.994,242.254,כמו
414,242.294,242.894,הדחיקה
415,243.034,243.475,במדינות
416,243.615,244.115,מסוימות
417,244.195,244.796,שהוזכרה
418,244.856,245.076,כאן
419,245.396,245.956,ופרסום
420,246.036,246.497,ספרים
421,246.537,247.037,הקשורים
422,247.077,247.538,לתופעה.
423,248.373,248.893,המחקר
424,248.913,249.334,השני
425,249.414,249.754,שערכו
426,249.814,250.295,השניים
427,250.615,250.875,נועד
428,250.895,251.335,לספק
429,251.375,251.676,תשובה
430,251.736,252.236,לשאלה
431,252.556,252.657,מה
432,252.737,252.937,היה
433,253.017,253.237,סוד
434,253.317,253.697,קיסמו
435,253.757,253.918,של
436,253.958,254.338,המחקר
437,254.478,255.099,מלכתחילה.
438,255.979,256.58,"כצפוי,"
439,256.92,257.36,מסקנות
440,257.38,257.861,המחקר
441,257.941,258.241,שילבו
442,258.261,258.722,היטב
443,258.842,258.982,בין
444,259.082,259.502,האמונה
445,259.522,260.063,העממית
446,260.263,260.403,של
447,260.523,260.963,מוזיקה
448,261.003,261.324,השפעה
449,261.424,261.904,חיובית
450,262.284,262.545,ובין
451,262.585,263.065,התחושה
452,263.105,263.545,המנחה
453,263.565,263.866,הורים
454,263.946,264.306,רבים
455,264.686,264.927,שעל
456,265.027,265.227,פיה
457,265.407,265.807,קיימת
458,265.847,266.168,תקופה
459,266.268,266.648,קריטית
460,266.708,267.429,בהתפתחותם
461,267.489,267.649,של
462,267.669,268.109,ילדים
463,268.389,268.95,המשפיעה
464,269.01,269.09,על
465,269.17,269.65,חייהם
466,269.691,270.131,באופן
467,270.191,270.531,בלתי
468,270.551,270.932,הפיך.
469,271.644,271.904,אך
470,271.944,272.485,החוקרים
471,272.585,272.965,כיוונו
472,273.005,273.426,גבוה
473,273.466,273.826,יותר.
474,274.567,275.107,בתרבות
475,275.168,275.408,שבה
476,275.468,275.728,הורים
477,275.768,276.229,מרגישים
478,276.269,276.809,אחראים
479,276.849,277.29,באופן
480,277.31,277.77,מוחלט
481,277.83,278.391,להתפתחות
482,278.451,278.551,של
483,278.631,279.172,"ילדיהם,"
484,279.632,279.972,וגני
485,280.012,280.353,ילדים
486,280.393,280.913,מסוימים
487,280.953,281.354,בארצות
488,281.394,281.674,הברית
489,281.714,282.215,נקראים
490,282.515,282.995,מרכזי
491,283.135,283.396,פיתוח
492,283.596,284.056,"ילדות,"
493,284.537,284.897,נראה
494,284.957,285.598,לחוקרים
495,285.678,285.978,שכל
496,286.078,286.539,אמצעי
497,286.579,286.939,שיכול
498,286.979,287.34,לקדם
499,287.38,287.5,את
500,287.52,288.241,הצאצאים
501,288.521,288.941,יזכה
502,288.961,289.442,לתשומת
504,289.482,289.642,לב
505,289.702,289.942,"רבה,"
506,290.463,290.723,שלא
507,290.763,291.264,לדבר
508,291.324,291.464,על
509,291.504,291.984,ההקלה
510,292.024,292.625,מהאשמה
511,292.805,293.326,המתלווה
512,293.346,293.806,לחשש
513,294.086,294.347,שלא
514,294.387,294.787,דאגנו
515,294.827,295.027,להם
516,295.067,295.468,מספיק.
517,296.332,296.912,בנסיבות
518,296.992,297.213,אלה
519,297.333,297.713,הניחו
520,297.733,298.333,החוקרים
521,298.413,298.514,כי
522,298.534,299.074,המחקר
523,299.094,299.594,יצוטט
524,299.634,300.135,יותר
525,300.195,300.715,במחוזות
526,300.775,301.095,שבהם
527,301.195,301.456,רמת
528,301.476,301.936,החינוך
529,302.116,302.576,נכשלת
530,302.636,303.177,יחסית.
531,303.837,303.917,הם
532,303.977,304.398,הישוו
533,NA,NA,34
534,305.398,305.779,מדינות
535,305.859,306.239,בארצות
536,306.259,306.619,הברית
537,306.959,307.18,שאת
538,307.22,307.56,כותרות
539,307.6,308.06,העיתונים
540,308.14,308.841,המתפרסמים
541,308.881,309.161,בהן
542,309.481,309.821,אגרו
543,309.881,310.302,בבסיס
544,310.362,310.782,המידע
545,310.842,311.463,שהקימו
546,311.943,312.403,ודרגו
547,312.443,312.763,אותן
548,312.884,312.984,על
549,313.084,313.184,פי
550,313.224,313.484,רמת
551,313.564,314.004,החינוך
552,314.044,314.305,בהן.
553,314.962,315.603,משוואת
554,315.643,316.063,הדירוג
555,316.243,316.584,כללה
556,316.684,317.044,תוצאות
557,317.104,317.524,מבחנים
558,317.624,318.185,"ארציים,"
559,318.505,318.926,הוצאה
560,318.966,319.486,ממשלתית
561,319.546,320.007,ממוצעת
562,320.127,320.647,לתלמיד
563,320.968,321.468,וסחר
564,321.568,322.009,המורים
565,322.069,322.549,במדינה.
566,323.35,323.87,"ואומנם,"
567,324.171,324.711,התברר
568,324.811,324.891,כי
569,324.911,325.111,יש
570,325.191,325.532,מתאם
571,325.592,326.012,גבוה
572,326.132,326.292,בין
573,326.393,326.593,רמת
574,326.613,327.093,החינוך
575,327.173,327.594,במדינה
576,327.634,328.214,מסוימת
577,328.495,328.795,ובין
578,328.895,329.215,שיעור
579,329.235,329.956,הפרסומים
580,330.036,330.637,שהתופעה
581,330.737,331.057,זכתה
582,331.117,331.437,להם
583,331.497,332.158,בעיתוניה
584,332.258,332.438,של
585,332.458,332.638,אותה
586,332.758,333.099,מדינה.
587,333.339,334.16,"כלומר,"
588,334.46,335.08,חרדתם
589,335.16,335.3,של
590,335.32,335.62,הורים
591,335.68,336.081,לחינוך
592,336.141,336.661,ילדיהם
593,337.041,337.302,הייתה
594,337.382,337.842,במקרה
595,337.922,338.122,זה
596,338.322,338.702,מצע
597,338.782,339.383,הדאגה
598,339.743,340.143,שעליו
599,340.243,340.604,פרחה
600,340.684,341.064,האגדה
601,341.144,342.285,האורבנית-המדעית
602,342.365,342.545,של
603,342.565,342.905,אפקט
604,342.965,343.365,"מוצרט,"
605,343.826,344.246,לפחות
606,344.326,344.846,במדינות
607,344.906,345.227,שבהן
608,345.307,345.587,רמת
609,345.607,346.047,החינוך
610,346.127,346.467,נמוכה
611,346.527,346.988,יחסית.
612,347.818,348.058,אבל
613,348.158,348.438,"רגע,"
614,348.998,349.279,פרט
615,349.359,349.719,פעוט
616,349.839,350.179,חמק
617,350.239,350.359,עד
618,350.419,350.539,כה
619,350.599,351.119,מעינינו.
620,351.84,352,אם
621,352.06,352.56,במחקר
622,352.6,353.06,המקורי
623,353.16,353.62,השתתפו
624,353.68,354.381,"סטודנטים,"
625,354.761,355.281,כיצד
626,355.381,355.821,ומתי
627,355.881,356.382,בדיוק
628,356.402,356.942,התרחש
629,356.982,357.502,המעבר
630,357.862,358.482,שבעתיו
631,358.542,358.963,נקבע
632,359.123,359.223,כי
633,359.263,359.623,דווקא
634,359.703,360.343,זעטוטים
635,360.423,360.723,עולי
636,360.783,361.123,ימים
637,361.244,361.644,יוצאים
638,361.724,362.344,נשכרים
639,362.624,363.424,מההאזנה
640,363.504,363.965,למוזיקה
641,364.045,364.485,קלאסית.
642,365.317,365.918,החוקרים
643,365.998,366.318,בדקו
644,366.358,366.818,מדגם
645,366.858,367.579,של
646,NA,NA,478
647,368.54,369.08,מאמרים
648,369.421,370.081,שהתייחסו
649,370.121,370.642,לתופעה
650,370.722,371.082,במשך
651,371.202,371.543,שמונה
652,371.603,371.923,שנים
653,372.003,372.303,מאז
654,372.343,372.644,דווחה
655,372.684,373.244,"לראשונה,"
656,373.885,374.265,וניסו
657,374.305,374.746,לברר
658,374.806,374.886,את
659,374.906,375.426,השכיחות
660,375.526,376.047,היחסית
661,376.247,376.467,שבה
662,376.487,376.968,הוזכרו
663,376.988,377.728,"סטודנטים,"
664,378.029,378.509,ילדים
665,378.709,379.37,ותינוקות
666,379.77,380.01,כמי
667,380.07,380.551,שנהנים
668,380.591,381.151,מהתופעה.
669,381.872,382.733,אוכלוסיית
670,382.753,383.194,המחקר
671,383.214,383.735,"המקורית,"
672,384.035,384.696,"סטודנטים,"
673,385.036,385.537,הוזכרה
674,385.637,386.138,ב-80%
675,386.158,387.36,מהמאמרים
676,387.42,388.081,שפורסמו
677,388.121,389.382,בשנת
678,NA,NA,"1994,"
679,389.543,390.564,אך
680,390.644,390.924,מיד
681,390.985,391.325,לאחר
682,391.425,391.786,פרסום
683,391.826,392.266,המחקר
684,392.286,392.787,המקורי
685,393.148,393.688,הוזכרה
686,393.768,393.949,רק
687,394.069,394.67,ב-30%
688,395.17,395.811,מהמאמרים
689,395.871,396.572,שפורסמו
690,396.833,397.233,אחרי
691,397.293,397.554,שנת
692,NA,NA,2000
693,398.595,399.275,"תינוקות,"
694,399.435,399.815,לעומת
695,399.895,400.115,"זאת,"
696,400.476,400.996,שמקומם
697,401.056,401.616,נפקד
698,401.656,402.156,מבציר
699,402.216,402.636,מאמרי
700,402.676,403.176,העיתונות
701,403.216,403.357,של
702,403.397,404.537,שנת
703,NA,NA,"1994,"
704,405.397,405.997,הוזכרו
705,406.037,406.718,בכ-55%
706,406.998,408.438,ממאמרי
707,408.458,409.679,שנת
708,NA,NA,1999
709,410.659,411.379,ובמאמרים
710,411.419,412.079,שפורסמו
711,412.139,412.539,בשנים
712,412.58,413.08,שלאחר
713,413.14,413.42,מכן.
714,414.12,414.841,הממצאים
715,414.881,415.461,המפתיעים
716,415.561,415.961,הללו
717,416.242,416.762,מחזקים
718,416.782,416.942,את
719,416.962,417.462,ההנחה
720,417.583,418.463,שהמוטציות
721,418.523,418.984,בסיפור
722,419.024,419.544,המקורי
723,419.844,420.164,עולות
724,420.264,420.665,בקנה
725,420.725,421.145,אחד
726,421.225,421.325,עם
727,421.345,421.946,מוסכמות
728,421.966,422.486,תרבותיות
729,422.546,423.107,מקובלות
730,423.447,424.107,המתייחסות
731,424.187,424.588,במקרה
732,424.668,424.748,זה
733,424.788,425.348,לאמונה
734,425.749,425.829,כי
735,425.889,426.669,בהתפתחותם
736,426.729,426.869,של
737,426.929,427.39,ילדים
738,427.69,427.91,יש
739,428.03,428.531,תקופה
740,428.571,429.031,קריטית
741,429.331,430.172,שתוצאותיה
742,430.292,430.612,בלתי
743,430.652,431.172,הפיכות
744,431.433,431.853,לטוב
745,431.953,432.013,או
746,432.073,432.353,לרע
747,432.894,433.574,ולדאגת
748,433.594,434.015,ההורים
749,434.055,434.515,לחינוכם
750,434.535,435.235,הראוי.
751,435.816,436.276,מכאן
752,436.676,437.337,שרעיונות
753,437.417,437.977,מסתגלים
754,438.037,438.538,לאווירה
755,438.578,439.298,הפסיכולוגית
756,439.358,440.079,והתרבותית
757,440.399,440.539,של
758,440.599,440.719,מי
759,440.759,441.24,שאמור
760,441.28,441.78,לארח
761,441.8,442.1,אותם.
762,442.908,443.468,למרבה
763,443.508,444.009,"הצער,"
764,444.389,444.509,אי
765,444.549,444.869,אפשר
766,444.929,445.31,לעקוב
767,445.41,445.53,אך
768,445.57,445.83,רוב
769,445.87,446.33,האגדות
770,446.37,447.091,האורבניות
771,447.271,447.651,באותה
772,447.671,447.992,קלות
773,448.032,448.712,שמאפשרות
774,448.772,449.072,אותן
775,449.152,449.533,אגדות
776,449.573,450.273,"שנסמכות,"
777,450.473,450.914,"לכאורה,"
778,451.294,451.414,על
779,451.454,451.854,מחקר
780,451.914,452.375,מדעי.
781,453.015,453.315,אתר
782,453.415,453.916,הדגל
783,453.996,454.136,של
784,454.216,454.656,חובבי
785,454.696,455.157,האגדות
786,455.197,455.957,האורבניות
787,456.237,457.318,הוא
788,NA,NA,סנופס
789,458.119,458.319,והוא
790,458.359,458.739,מכתיר
791,458.759,458.859,את
792,458.879,459.319,עצמו
793,459.36,459.78,כמקור
794,459.86,460.44,ההתייחסות
795,460.48,460.901,המקיף
796,460.981,461.361,ביותר
797,461.421,461.881,ברשת
798,462.101,462.602,לאגדות
799,462.662,463.022,"כאלה,"
800,463.402,463.823,סיפורי
801,463.883,464.143,"עם,"
802,464.403,464.943,"מיתוסים,"
803,465.164,465.624,שמועות
804,465.844,466.224,ומידע
805,466.304,466.625,מטעה.
806,467.225,467.705,אפשר
807,467.765,468.146,לגלוש
808,468.226,468.666,באתר
809,468.746,468.846,על
810,468.926,469.006,פי
811,469.046,469.727,קטגוריות.
812,470.127,470.307,יש
813,470.388,470.508,לא
814,470.568,470.848,פחות
815,470.908,471.488,מ-43
816,472.049,472.409,"כאלה,"
817,472.85,472.93,או
818,472.99,473.49,לקפוץ
819,473.51,473.89,ישר
820,473.95,474.851,לרשימת
821,NA,NA,25
822,475.031,475.992,הסיפורים
823,476.072,476.593,החמים
824,476.633,477.133,ביותר.
825,478.054,478.794,בקטגוריית
826,478.814,479.215,"הפשע,"
827,479.255,479.775,"למשל,"
828,480.195,480.516,תוכלו
829,480.536,480.936,למצוא
830,480.976,481.076,את
831,481.096,481.597,הסיפור
832,481.697,481.817,על
833,481.877,482.277,מעשן
834,482.357,482.958,סיגרים
835,483.038,483.618,שביטח
836,483.718,483.938,כמה
837,484.018,484.279,מאות
838,484.359,484.619,מהם
839,484.679,484.899,נגד
840,484.999,485.36,שריפה.
841,486.142,486.642,לאחר
842,486.722,487.203,שנהנה
843,487.263,487.623,לעשן
844,487.663,487.763,את
845,487.843,488.223,"כולם,"
846,488.564,488.884,תבע
847,488.944,489.044,את
848,489.084,489.444,חברת
849,489.464,489.945,הביטוח
850,490.045,490.585,בטענה
851,490.685,490.785,כי
852,490.825,491.466,הסיגרים
853,491.546,491.766,עלו
854,491.806,492.286,באש.
855,492.967,493.327,חברת
856,493.347,493.807,הביטוח
857,493.907,494.287,סרבה
858,494.327,494.828,לשלם
859,495.208,495.628,והאיש
860,495.688,495.929,תבע
861,495.969,496.229,אותה.
862,496.889,497.37,השופט
863,497.41,497.65,הורה
864,497.69,498.09,לחברה
865,498.17,498.61,לפצות
866,498.67,498.75,את
867,498.77,499.371,"המבוטח,"
868,499.811,499.931,אך
869,499.991,500.332,כאשר
870,500.412,500.712,קיבל
871,500.812,500.992,האיש
872,501.012,501.052,את
873,501.132,501.612,"הכסף,"
874,501.933,502.333,מהרה
875,502.353,502.733,החברה
876,502.793,503.193,לבקש
877,503.213,503.314,את
878,503.374,503.934,מאסרו
879,504.074,504.374,בשל
880,504.414,504.815,הצתה.
881,505.633,505.833,על
882,505.933,506.093,פי
883,NA,NA,סנופס
884,507.754,508.215,הסיפור
885,508.275,508.595,נולד
886,508.675,509.115,באמצע
887,509.155,509.415,שנות
888,509.435,509.896,ה-60
889,509.956,510.116,של
890,510.136,510.436,המאה
891,510.456,510.976,הקודמת
892,511.317,511.817,ונמצא
893,511.937,512.257,חסר
894,512.337,512.857,ביסוס.
895,513.478,513.878,אורחי
896,513.938,514.298,האתר
897,514.338,515.019,החרוצים
898,515.399,515.819,פורסים
899,515.859,516.1,בפני
900,516.2,516.7,הגולש
901,516.78,517.12,מאות
902,517.18,517.64,אגדות
903,517.721,518.041,מסוג
904,518.101,518.321,"זה,"
905,518.721,519.141,מנתחים
906,519.181,519.261,את
907,519.322,520.082,מקורותיהן
908,520.442,521.003,וגוזרים
909,521.083,521.163,את
910,521.243,521.683,דינן
911,521.763,522.343,כסיפורים
912,522.403,522.984,"אמיתיים,"
913,523.284,523.944,"מופרכים,"
914,524.245,524.345,או
915,524.405,524.865,במקרים
916,524.965,525.285,רבים
917,525.365,525.946,ככאלה
918,526.026,526.306,שיש
919,526.366,526.666,בהם
920,526.786,527.046,גם
921,527.126,527.527,גרעין
